season,missing_reason,games
2018,no_real_open_close_pair,82
2018,true_source_absence_or_join_miss,66
2019,no_real_open_close_pair,84
2019,true_source_absence_or_join_miss,98
2020,no_real_open_close_pair,91
2020,true_source_absence_or_join_miss,49
2021,no_real_open_close_pair,93
2021,true_source_absence_or_join_miss,66
2022,no_real_open_close_pair,656
2022,true_source_absence_or_join_miss,65
2023,no_real_open_close_pair,1319
2023,true_source_absence_or_join_miss,64
2024,no_real_open_close_pair,810
2024,true_source_absence_or_join_miss,69
