season,market_source,games
2003,elo_fallback,1286
2004,elo_fallback,1362
2005,elo_fallback,1432
2006,elo_fallback,233
2006,pinnacle,1186
2007,elo_fallback,95
2007,nba_odds_ml,95
2007,nba_odds_spread,1
2007,pinnacle,1220
2008,elo_fallback,110
2008,nba_odds_ml,82
2008,pinnacle,1233
2009,elo_fallback,112
2009,nba_odds_ml,58
2009,pinnacle,1254
2010,elo_fallback,111
2010,nba_odds_ml,107
2010,pinnacle,1204
2011,nba_odds_ml,1
2011,pinnacle,1103
2012,elo_fallback,106
2012,nba_odds_ml,15
2012,pinnacle,1299
2013,elo_fallback,108
2013,nba_odds_ml,30
2013,pinnacle,1289
2014,elo_fallback,107
2014,nba_odds_ml,28
2014,pinnacle,1283
2015,elo_fallback,100
2015,nba_odds_ml,39
2015,pinnacle,1277
2016,elo_fallback,96
2016,nba_odds_ml,45
2016,pinnacle,1264
2017,elo_fallback,68
2017,nba_odds_ml,104
2017,pinnacle,1210
2018,elo_fallback,66
2018,nba_odds_ml,1312
2019,elo_fallback,98
2019,nba_odds_ml,1143
2020,elo_fallback,49
2020,nba_odds_ml,1171
2021,elo_fallback,66
2021,nba_odds_ml,1323
2022,elo_fallback,65
2022,nba_odds_ml,663
2022,nba_odds_spread,656
2023,elo_fallback,64
2023,nba_odds_spread,1319
2024,elo_fallback,69
2024,nba_odds_spread,810
