season,opening_source,games
2007,local_nba_odds_open,86
2007,local_nba_odds_open|local_odds_data_close,1230
2008,local_nba_odds_open,85
2008,local_nba_odds_open|local_odds_data_close,1230
2009,local_nba_odds_open,82
2009,local_nba_odds_open|local_odds_data_close,1230
2010,local_nba_odds_open,81
2010,local_nba_odds_open|local_odds_data_close,1230
2011,local_nba_odds_open,84
2011,local_nba_odds_open|local_odds_data_close,990
2012,local_nba_odds_open,85
2012,local_nba_odds_open|local_odds_data_close,1229
2013,local_nba_odds_open,89
2013,local_nba_odds_open|local_odds_data_close,1230
2014,local_nba_odds_open,81
2014,local_nba_odds_open|local_odds_data_close,1230
2015,local_nba_odds_open,86
2015,local_nba_odds_open|local_odds_data_close,1230
2016,local_nba_odds_open,79
2016,local_nba_odds_open|local_odds_data_close,1230
2017,local_nba_odds_open,82
2017,local_nba_odds_open|local_odds_data_close,1230
2018,local_nba_odds_open,82
2018,local_nba_odds_open|local_odds_data_close,1230
2019,local_nba_odds_open,84
2019,local_nba_odds_open|local_odds_data_close,1059
2020,local_nba_odds_open,91
2020,local_nba_odds_open|local_odds_data_close,1080
2021,local_nba_odds_open,93
2021,local_nba_odds_open|local_odds_data_close,1230
2022,local_nba_odds_open,656
2022,local_nba_odds_open|local_odds_data_close,663
2023,local_nba_odds_open,1319
2024,local_nba_odds_open,810
