column,non_null_pct,unique_values,all_null,constant_non_null,zero_rate_after_fill
questionable_count_home,1.0,1,False,True,1.0
questionable_count_away,1.0,1,False,True,1.0
doubtful_count_home,1.0,1,False,True,1.0
doubtful_count_away,1.0,1,False,True,1.0
out_count_home,1.0,1,False,True,1.0
out_count_away,1.0,1,False,True,1.0
pregame_injury_impact_home,1.0,1,False,True,1.0
pregame_injury_impact_away,1.0,1,False,True,1.0
external_injury_reports_present_home,1.0,1,False,True,1.0
external_injury_reports_present_away,1.0,1,False,True,1.0
confirmed_starters_available_home,1.0,1,False,True,1.0
confirmed_starters_available_away,1.0,1,False,True,1.0
confirmed_starters_missing_home,1.0,1,False,True,1.0
confirmed_starters_missing_away,1.0,1,False,True,1.0
lineup_confirmation_lag_hours_home,0.0,0,True,False,1.0
lineup_confirmation_lag_hours_away,0.0,0,True,False,1.0
external_lineups_present_home,1.0,1,False,True,1.0
external_lineups_present_away,1.0,1,False,True,1.0
star_points_lost_home,0.956720202874049,1304,False,False,0.4701267962806424
star_points_lost_away,0.956720202874049,1375,False,False,0.45528317836010146
star_importance_lost_home,0.956720202874049,1320,False,False,0.4701267962806424
star_importance_lost_away,0.956720202874049,1394,False,False,0.45528317836010146
